Comment,Designator,Footprint,LCSC,Quantity
,D1,diode_tht_sod123,,1
,D2,diode_tht_sod123,,1
,D3,diode_tht_sod123,,1
,D4,diode_tht_sod123,,1
,D5,diode_tht_sod123,,1
,D6,diode_tht_sod123,,1
,D7,diode_tht_sod123,,1
,D8,diode_tht_sod123,,1
,D9,diode_tht_sod123,,1
,D10,diode_tht_sod123,,1
,D11,diode_tht_sod123,,1
,D12,diode_tht_sod123,,1
,D13,diode_tht_sod123,,1
,D14,diode_tht_sod123,,1
,D15,diode_tht_sod123,,1
,D16,diode_tht_sod123,,1
,D17,diode_tht_sod123,,1
,D18,diode_tht_sod123,,1
,D19,diode_tht_sod123,,1
,D20,diode_tht_sod123,,1
,D21,diode_tht_sod123,,1
,D22,diode_tht_sod123,,1
,D23,diode_tht_sod123,,1
,D24,diode_tht_sod123,,1
,D25,diode_tht_sod123,,1
,D26,diode_tht_sod123,,1
,D27,diode_tht_sod123,,1
,D28,diode_tht_sod123,,1
,D29,diode_tht_sod123,,1
,PWR1,power_switch_smd_side,,1
,RST1,reset_switch_smd_side,,1
,RE1,rotary_encoder_ec11_ec12,,1
,SW1,sqku_5way_nav_switch,,1
,D30,diode_tht_sod123,,1
,H1,mounting_hole_plated,,1
,H2,mounting_hole_plated,,1
,JST1,battery_connector_jst_ph_2,,1
,MH1,mounting_hole_npth,,1
,MH2,mounting_hole_npth,,1
,MH3,mounting_hole_npth,,1
,MH4,mounting_hole_npth,,1
,MH5,mounting_hole_npth,,1
