Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,,diode_tht_sod123,158.0,-166.0,90.0,top
D10,,diode_tht_sod123,194.0,-161.0,90.0,top
D11,,diode_tht_sod123,194.0,-144.0,90.0,top
D12,,diode_tht_sod123,194.0,-127.0,90.0,top
D13,,diode_tht_sod123,194.0,-110.0,90.0,top
D14,,diode_tht_sod123,212.0,-175.5,90.0,top
D15,,diode_tht_sod123,212.0,-158.5,90.0,top
D16,,diode_tht_sod123,212.0,-141.5,90.0,top
D17,,diode_tht_sod123,212.0,-124.5,90.0,top
D18,,diode_tht_sod123,212.0,-107.5,90.0,top
D19,,diode_tht_sod123,230.0,-178.0,90.0,top
D2,,diode_tht_sod123,158.0,-149.0,90.0,top
D20,,diode_tht_sod123,230.0,-161.0,90.0,top
D21,,diode_tht_sod123,230.0,-144.0,90.0,top
D22,,diode_tht_sod123,230.0,-127.0,90.0,top
D23,,diode_tht_sod123,230.0,-110.0,90.0,top
D24,,diode_tht_sod123,248.0,-163.5,90.0,top
D25,,diode_tht_sod123,248.0,-146.5,90.0,top
D26,,diode_tht_sod123,248.0,-129.5,90.0,top
D27,,diode_tht_sod123,248.0,-112.5,90.0,top
D28,,diode_tht_sod123,248.95095,-184.46833,75.0,top
D29,,diode_tht_sod123,267.716792,-179.73054,150.0,top
D3,,diode_tht_sod123,158.0,-132.0,90.0,top
D30,,diode_tht_sod123,253.0,-163.5,90.0,top
D4,,diode_tht_sod123,158.0,-115.0,90.0,top
D5,,diode_tht_sod123,176.0,-166.0,90.0,top
D6,,diode_tht_sod123,176.0,-149.0,90.0,top
D7,,diode_tht_sod123,176.0,-132.0,90.0,top
D8,,diode_tht_sod123,176.0,-115.0,90.0,top
D9,,diode_tht_sod123,194.0,-178.0,90.0,top
H1,,mounting_hole_plated,254.9,-153.1,0.0,top
H2,,mounting_hole_plated,270.9,-153.1,0.0,top
JST1,,battery_connector_jst_ph_2,255.95,-145.1,90.0,top
MH1,,mounting_hole_npth,159.0,-120.5,0.0,top
MH2,,mounting_hole_npth,230.55,-115.5,0.0,top
MH3,,mounting_hole_npth,159.0,-154.5,0.0,top
MH4,,mounting_hole_npth,230.55,-149.5,0.0,top
MH5,,mounting_hole_npth,254.212774,-174.490193,-15.0,top
PWR1,,power_switch_smd_side,272.22,-136.75,0.0,top
RE1,,rotary_encoder_ec11_ec12,259.525,-162.0,-90.0,top
RST1,,reset_switch_smd_side,272.6,-146.8,-90.0,top
SW1,,sqku_5way_nav_switch,262.9,-162.0,0.0,bottom
